ID,Information_Centrality,Essentiality
35653,0.0009082208113948,1
34404,0.0009081951118033,0
32210,0.0009081780498756,0
33348,0.0009081612669721,0
32711,0.0009081063942068,0
32926,0.0009080686603943,0
32225,0.0009080419786249,1
34681,0.0009080102672546,0
33128,0.0009079918569203,1
32041,0.0009079747991196,1
33997,0.0009079678977343,0
34967,0.0009079675915707,1
31753,0.0009079534302933,0
36123,0.0009078507604304,0
32437,0.0009078298495697,0
33080,0.0009077961032566,0
32895,0.000907762444983,1
35256,0.0009076523034497,0
32529,0.000907620597459,0
35726,0.0009076067198532,0
34649,0.0009075943354996,1
31882,0.0009075449005743,0
33087,0.0009075441469181,0
34084,0.0009075201812129,1
35676,0.0009075040420207,0
32106,0.0009074819897263,1
36634,0.0009074787164948,0
32048,0.0009074756722777,0
31987,0.0009074727693489,0
36467,0.0009074696007905,1
33662,0.000907469519627,0
36091,0.0009073382901921,0
35762,0.0009073246518704,1
36125,0.0009073076338795,0
31631,0.0009072825001692,0
31957,0.0009072683747903,1
33822,0.0009072634754374,1
36540,0.0009072614985091,1
34908,0.000907252142005,0
35487,0.0009072461260084,0
34085,0.0009072288274134,0
33238,0.0009072100901843,1
31825,0.0009071902997418,1
32257,0.0009071834585886,0
34362,0.0009071311149594,1
32663,0.000907128933137,1
32035,0.000907087800936,0
35681,0.000907081919732,0
31579,0.0009070722987885,1
31638,0.0009070445030702,1
33226,0.0009070074751066,0
32296,0.0009069756863961,0
32199,0.0009069672288401,1
31033,0.0009069533971412,0
31562,0.0009069153165528,1
36830,0.0009069151474839,0
31014,0.0009069108378874,0
32710,0.0009068970596513,1
31358,0.0009068389343832,0
35831,0.0009068205386377,0
36201,0.000906800902901,0
33467,0.0009067982996132,0
33200,0.0009067065108882,1
34293,0.000906704036491,0
35850,0.0009066357774787,1
35743,0.0009066300148976,0
34576,0.0009066289748393,1
35805,0.0009066154843743,0
31040,0.0009066120074221,0
35540,0.0009065982179821,0
30927,0.0009065867331639,1
31700,0.0009065595774707,0
34517,0.0009065588100535,1
31965,0.000906552290738,1
34280,0.0009065330961595,0
35690,0.0009065135292787,0
30951,0.0009065104631925,0
35819,0.0009065057187524,1
32996,0.0009064971420888,0
32219,0.0009064924735165,1
31469,0.0009064890403152,0
33246,0.0009064584939519,1
31543,0.0009064435057674,1
33728,0.0009064287340487,1
35128,0.0009064014952815,0
33440,0.000906391883716,0
36458,0.0009063885815842,0
36269,0.0009063689397268,1
32241,0.0009063496691503,1
33360,0.0009063258142364,1
32511,0.0009063107900409,0
33816,0.0009063099552183,0
33405,0.0009063073722124,0
32354,0.0009062890255165,1
31502,0.0009062809599928,0
32561,0.0009062754028632,1
33981,0.0009062718128112,0
31352,0.0009062500234142,0
35721,0.0009062484080577,1
33044,0.0009062434806859,0
32213,0.0009062433709824,0
33730,0.0009062428015624,0
34429,0.0009062423222396,0
33181,0.0009062413754793,0
34091,0.0009062374571974,0
35097,0.0009062253238425,1
32364,0.0009062085458447,1
35620,0.0009061732477147,1
32692,0.0009061676778374,0
36639,0.0009061670718261,0
35375,0.000906166148824,1
33952,0.0009061580268907,0
31724,0.0009061374410306,1
32493,0.0009061306544842,1
35413,0.0009061236374563,1
31453,0.000906115034104,0
35796,0.0009060864372922,0
35688,0.0009060627740663,0
33115,0.0009060605142798,1
31907,0.0009060566937543,0
35810,0.0009060373572194,0
36877,0.0009060302654021,1
35972,0.0009060222159311,0
35744,0.0009060147351722,0
32764,0.0009060036207892,1
34752,0.0009059979801283,0
32023,0.0009059945789366,0
34711,0.0009059828855913,1
31879,0.0009059699700225,0
32052,0.000905963360297,0
33874,0.0009059612222315,0
31351,0.0009059526416958,1
33232,0.0009059448857002,1
36100,0.0009059380145608,0
32044,0.000905906008833,1
36918,0.0009059057325396,1
31960,0.000905901609089,1
31147,0.000905883186005,1
33675,0.0009058722739743,1
32289,0.0009058606567028,1
34902,0.0009058593371959,0
31016,0.0009058213461434,0
36408,0.0009058167022527,1
36005,0.0009058139596811,0
34479,0.0009057951296453,0
31384,0.0009057852040616,0
36611,0.0009057830011621,0
34455,0.0009057788619506,1
33136,0.0009057596444752,0
33814,0.0009057552414052,1
33726,0.0009057405905141,1
31607,0.0009057322467215,0
36346,0.0009057280243006,0
36473,0.0009057193519701,0
34862,0.000905717765444,1
36693,0.0009057127126186,0
32119,0.0009057096292414,1
32388,0.0009056592099776,1
35101,0.0009056528718564,1
36075,0.0009056389831539,0
32277,0.0009056361474752,0
36490,0.0009056161390281,1
35708,0.000905612880513,1
33991,0.000905609254277,1
35746,0.000905609024735,0
32391,0.0009055984085361,0
32505,0.0009055823201729,0
34392,0.0009055726879653,0
33591,0.0009055540226193,0
36856,0.0009055440858036,0
36147,0.0009055315383623,0
35002,0.0009055204617653,1
34513,0.0009054947410696,1
31160,0.0009054860995049,0
34997,0.0009054802499719,1
36210,0.0009054774703314,0
36625,0.0009054569845423,0
34644,0.0009054447407242,1
33503,0.0009054432030093,0
33639,0.0009053864813054,0
33224,0.0009053732158536,1
33320,0.0009053687631205,0
31601,0.0009053582796116,0
31245,0.0009053542622906,0
34639,0.0009053436659269,1
32183,0.0009053308232421,0
34385,0.0009053307727904,0
31559,0.0009053284728963,0
35476,0.0009053258035641,1
32835,0.0009053216351706,1
34398,0.0009053164014899,0
33340,0.0009053156404721,0
33573,0.0009053109680527,0
36242,0.0009052407953364,0
36310,0.0009052311312637,0
34745,0.0009052142044033,0
34494,0.0009052104476992,0
32751,0.0009051778652858,1
31916,0.0009051721127119,1
36838,0.000905148808229,1
32028,0.0009051365901285,1
34599,0.000905135692297,1
32117,0.0009051322030264,1
35577,0.000905094321143,1
32243,0.0009050928009128,1
35141,0.0009050915814763,0
33579,0.0009050791407618,0
33074,0.0009050664167112,1
31914,0.0009050655299442,1
31610,0.000905051285786,1
33839,0.0009050452150175,0
34021,0.0009050297909118,0
35161,0.0009050245811106,0
33102,0.000905020873236,0
35980,0.0009050126676243,1
36030,0.0009049949285986,1
32890,0.0009049918523381,1
33829,0.0009049664486379,0
34099,0.0009049462374237,1
36193,0.0009049163129394,1
35842,0.0009049088134868,1
35077,0.0009048847298087,1
35145,0.000904883168453,0
31788,0.0009048748342512,0
31138,0.0009048629533502,1
35959,0.0009048364573911,0
31320,0.0009048133225375,1
36302,0.0009048111222248,0
35532,0.0009048001825248,0
35441,0.0009047935039096,0
36930,0.0009047798894123,0
35040,0.0009047485982601,0
36362,0.0009047463278106,1
36104,0.000904708211876,1
35603,0.0009046965980026,0
35346,0.0009046934515333,1
31740,0.0009046902247643,0
35993,0.0009046899746837,1
31742,0.0009046889217991,0
35049,0.0009046775656091,0
31391,0.0009046630494823,0
32129,0.0009046623673464,0
33121,0.0009046277998415,1
36525,0.0009046260825099,0
31222,0.0009046171378273,1
35402,0.0009046109430443,0
33665,0.0009046055782354,0
31360,0.0009045929840546,0
33519,0.0009045871963159,0
31632,0.0009045587847438,0
34487,0.0009045573632264,0
35456,0.0009045450510287,1
36728,0.0009045418770731,0
33205,0.0009045209437852,0
31755,0.0009044958388903,0
33341,0.0009044924262416,1
36271,0.0009044917117637,1
32871,0.0009044912192968,0
31717,0.000904491077362,1
34248,0.0009044419337436,1
33667,0.0009044389517537,1
32801,0.0009043910188207,0
30968,0.0009043872910573,0
34101,0.0009043785870947,0
32136,0.0009043695040745,0
36905,0.0009043555014196,0
31986,0.0009043535123669,0
35046,0.0009043438026601,0
35014,0.0009043353509067,0
34916,0.0009043272247342,0
31828,0.0009042849731786,1
31463,0.0009042812567354,0
31249,0.0009042653070607,0
35137,0.0009042199362301,0
33086,0.0009042004933534,0
30980,0.0009041885394834,0
36598,0.0009041802261387,1
34127,0.0009041761933078,0
32566,0.0009041736545947,0
31581,0.0009041674186469,1
36925,0.0009041597128163,1
35835,0.0009041465922673,0
36354,0.0009041424563293,1
35446,0.0009041396550081,1
30971,0.0009041371801758,0
34568,0.0009041351595674,1
36350,0.0009040536283659,1
36749,0.000904008235422,1
34213,0.0009039737263111,0
36009,0.000903951937374,0
35587,0.0009039448557263,0
33481,0.0009039427090733,0
33925,0.0009039360937522,1
32537,0.0009039279468996,0
33116,0.0009039241720484,0
35659,0.0009039087244864,0
31792,0.0009038877123242,0
35773,0.0009038826672834,0
31612,0.0009038821665034,0
34403,0.0009038582422881,0
