ID,Information_Centrality,Essentiality
32225,0.0009117165441026,1
34681,0.0009116845545721,0
33128,0.0009116583813108,1
32041,0.0009116411799898,1
33997,0.0009116263676057,0
31753,0.0009116196000609,0
36123,0.0009115240172075,0
32437,0.0009114948523334,0
33080,0.0009114608238325,0
32895,0.000911418514129,1
32711,0.0009113431386635,0
35256,0.0009112983188025,0
32529,0.0009112832867543,0
35726,0.0009112696153155,0
34649,0.0009112484686796,1
31882,0.000911198367668,0
34084,0.0009111910870477,1
33087,0.0009111888607186,0
35676,0.0009111660140316,0
32106,0.0009111437277038,1
31987,0.0009111433396502,0
36634,0.0009111403868058,0
36467,0.0009111401606014,1
33662,0.0009111220982381,0
32048,0.0009111105323729,0
31921,0.0009111030734065,1
36091,0.0009109985523562,0
35762,0.0009109755446301,1
36125,0.0009109677433875,0
31957,0.0009109375535411,1
31631,0.0009109328751534,0
33822,0.000910923126326,1
36540,0.0009109211462299,1
35487,0.0009109151295256,0
34908,0.00091090221122,0
33238,0.0009108691797816,1
34085,0.0009108593767977,0
31825,0.0009108588045213,1
32257,0.0009108423389889,0
34362,0.0009107991910214,1
32663,0.0009107873249512,1
32035,0.0009107556656052,0
35681,0.0009107398630788,0
31579,0.0009107301103345,1
31638,0.0009107020140041,1
33226,0.0009106445208908,0
32199,0.0009106342686378,1
32296,0.0009106327021397,0
31033,0.0009106101769582,0
31014,0.0009105773508525,0
31562,0.0009105716642546,1
36830,0.0009105714378928,0
32710,0.0009105531080575,1
31358,0.000910494550974,0
35831,0.0009104653808067,0
36201,0.0009104560558659,0
33467,0.0009104534686184,0
34293,0.0009103691656596,0
33200,0.0009103608057955,1
35743,0.0009102946016181,0
34576,0.0009102825340274,1
35850,0.0009102783186716,1
35805,0.0009102688807836,0
31040,0.000910254223717,0
35540,0.0009102513521858,0
30927,0.0009102509399293,1
34517,0.0009102230097561,1
31965,0.0009102163754882,1
31700,0.0009102124197468,0
34280,0.0009101969131628,0
35819,0.000910169545948,1
35690,0.0009101660083554,0
32219,0.0009101561707586,1
31469,0.0009101527377976,0
30951,0.0009101513792094,0
32996,0.0009101264301129,0
31543,0.0009100952723519,1
33728,0.0009100920171167,1
33246,0.0009100872961445,1
33440,0.000910043142592,0
35128,0.0009100411067087,0
36458,0.0009100397521874,0
32241,0.0009100123715812,1
36269,0.0009100080757361,1
33360,0.0009099882980127,1
32354,0.0009099512611198,1
33816,0.000909948236664,0
31502,0.0009099430751773,0
33981,0.0009099338538298,0
33405,0.0009099337355841,0
32561,0.0009099254016034,1
32511,0.0009099250372475,0
31352,0.0009099120060904,0
34429,0.0009099042875668,0
33181,0.0009099033305382,0
35721,0.0009098982663038,1
32213,0.0009098931468373,0
33730,0.0009098803412517,0
35097,0.0009098749454014,1
34091,0.0009098749070144,0
33044,0.0009098687497409,0
32364,0.0009098580064545,1
35375,0.0009098275482908,1
35620,0.0009098098958066,1
31724,0.0009097986981184,1
33952,0.0009097945555439,0
32493,0.0009097918521321,1
32692,0.0009097794686458,0
35413,0.000909772268508,1
35796,0.0009097469357925,0
36639,0.0009097416329092,0
31453,0.0009097384984962,0
35688,0.0009097235007067,0
33115,0.0009097211331653,1
31907,0.000909704509576,0
35810,0.0009096977137624,0
36877,0.0009096907100955,1
35972,0.0009096697272787,0
34752,0.0009096580216859,0
32023,0.000909654819245,0
32764,0.0009096510265261,1
34711,0.000909643028466,1
35744,0.0009096365729434,0
31879,0.0009096299254317,0
32052,0.0009096103853015,0
33874,0.0009096082085153,0
33232,0.0009096046519439,1
31351,0.0009095995446903,1
36100,0.0009095846449012,0
32044,0.0009095656083541,1
36918,0.0009095653394694,1
31147,0.0009095293111729,1
31960,0.0009095216149419,1
32289,0.0009095066397546,1
33675,0.0009094918133228,1
34902,0.0009094786243922,0
31016,0.0009094669593299,0
36005,0.0009094594223994,0
34479,0.0009094539367526,0
31384,0.0009094437877263,0
34455,0.0009094375998321,1
36408,0.0009094353667614,1
36611,0.0009094281883464,0
33814,0.0009094137507418,1
33136,0.0009094046693363,0
33726,0.0009093853059344,1
36473,0.0009093775840622,0
31607,0.000909376786536,0
34862,0.0009093760634666,1
36346,0.0009093727182114,0
36693,0.000909370874402,0
32119,0.0009093676480539,1
32388,0.0009093170095134,1
35101,0.000909282770071,1
36490,0.0009092736463317,1
33991,0.0009092667396867,1
35746,0.0009092663062082,0
35708,0.000909256400624,1
32277,0.0009092519465958,0
36075,0.0009092406930333,0
32391,0.0009092276715782,0
32505,0.0009092253843372,0
34392,0.0009092016181088,0
36147,0.0009091884459953,0
33591,0.0009091827558089,0
36856,0.0009091728267705,0
35002,0.0009091629143531,1
34513,0.0009091370062002,1
36210,0.0009091196500863,0
36625,0.000909113417543,0
34997,0.0009091080317835,1
34644,0.0009091010969492,1
33503,0.0009090558409847,0
33224,0.0009090290534856,1
31160,0.0009090266180757,0
33639,0.0009090128821681,0
31245,0.0009090099788362,0
33320,0.000908995169599,0
34385,0.0009089862545964,0
34639,0.0009089844430566,1
32835,0.0009089770958972,1
32183,0.0009089714221363,0
31601,0.0009089695175258,0
33573,0.0009089661948024,0
34398,0.0009089418936801,0
33340,0.0009089412655135,0
35476,0.0009089365873545,1
36310,0.0009088859458965,0
36242,0.0009088805517391,0
34494,0.000908864985533,0
34745,0.0009088536554234,0
31916,0.0009088265570748,1
36838,0.0009088030848486,1
32751,0.0009088015910846,1
34599,0.0009087899322062,1
32117,0.0009087708545149,1
32028,0.0009087598382179,1
31914,0.0009087191661624,1
35577,0.0009087168767331,1
32243,0.0009087152445881,1
35141,0.000908714071535,0
33579,0.0009087015305194,0
31610,0.0009086892325783,1
33839,0.0009086830021779,0
33074,0.0009086731536701,1
35161,0.0009086621288645,0
33102,0.0009086584247881,0
32890,0.0009086450443772,1
34021,0.0009086355841975,0
35980,0.0009086342104842,1
34967,0.0009086215656075,1
36030,0.0009085841086073,1
34099,0.0009085826086542,1
35842,0.0009085613220702,1
33829,0.0009085549117183,0
36193,0.000908552751302,1
35145,0.0009085354788336,0
35077,0.0009085208654211,1
31138,0.0009085152342748,1
31788,0.000908510807493,0
35959,0.0009084721321707,0
31320,0.0009084488079063,1
36302,0.0009084463017609,0
35441,0.00090844533869,0
36930,0.0009084136605119,0
35532,0.0009083852585893,0
36362,0.0009083808226156,1
36104,0.0009083594372642,1
35603,0.0009083476989103,0
35346,0.0009083445091905,1
31742,0.0009083399371982,0
35040,0.000908333128431,0
31740,0.0009083243177347,0
31391,0.0009083139123636,0
32129,0.0009083132724434,0
35993,0.0009083041677148,1
35049,0.0009082945593535,0
31222,0.000908267642556,1
31360,0.0009082433705378,0
36525,0.0009082422935615,0
33665,0.0009082387033288,0
33121,0.0009082270472815,1
33519,0.0009082202601313,0
34487,0.0009082075119354,0
35456,0.0009081949799507,1
31632,0.0009081740766711,0
35402,0.0009081572981125,0
33205,0.0009081534233876,0
33341,0.000908142065596,1
36271,0.0009081413816593,1
31717,0.0009081406981733,1
31755,0.0009081279954499,0
32871,0.0009081232777127,0
36728,0.0009081218368553,0
34248,0.000908073264527,1
33667,0.0009080703161709,1
30968,0.0009080182508391,0
32801,0.0009080040449552,0
31986,0.000908001948054,0
35046,0.000907992404498,0
34101,0.000907991308214,0
36905,0.0009079862032417,0
32136,0.0009079821227068,0
35014,0.0009079657480858,0
