Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef,Roc_Auc,Precision,Recall
32,10,80,10,20,0.5,0.8954248366013072,0.7719266930463156,0.6814159292035398,0.6399398696481441,0.7719266930463156,0.850828729281768,0.5682656826568265
32,10,80,10,20,1,0.8939724037763254,0.7919166171770217,0.6983471074380165,0.6419256512208873,0.7919166171770217,0.7934272300469484,0.6236162361623616
32,10,80,10,20,1.5,0.90559186637618,0.8061145846539839,0.7280334728033473,0.6810799928304831,0.8061145846539839,0.8405797101449275,0.6420664206642066
32,10,80,20,5,0.5,0.8961510530137982,0.7723787726123192,0.6829268292682926,0.642513319817638,0.7723787726123192,0.8555555555555555,0.5682656826568265
32,10,80,20,5,1,0.906318082788671,0.7982090309149024,0.7225806451612904,0.6815845834969418,0.7982090309149024,0.865979381443299,0.6199261992619927
32,10,80,20,5,1.5,0.9034132171387074,0.7977936515350688,0.7176220806794055,0.6720543715391192,0.7977936515350688,0.845,0.6236162361623616
32,10,80,20,10,0.5,0.8990559186637618,0.7769729686446954,0.6917960088691796,0.6533505525298086,0.7769729686446954,0.8666666666666667,0.5756457564575646
32,10,80,20,10,1,0.8888888888888888,0.7845732435624537,0.6845360824742268,0.6245820870231186,0.7845732435624538,0.7757009345794392,0.6125461254612546
32,10,80,20,10,1.5,0.8954248366013072,0.7872490207723053,0.6962025316455696,0.6442711643098934,0.7872490207723053,0.812807881773399,0.6088560885608856
32,10,80,20,20,0.5,0.9034132171387074,0.8089371626085158,0.7268993839835729,0.6754906976951311,0.8089371626085158,0.8194444444444444,0.6531365313653137
32,10,80,20,20,1,0.9048656499636892,0.8000907495512568,0.721868365180467,0.6772384134274375,0.8000907495512568,0.85,0.6273062730627307
32,10,80,20,20,1.5,0.9026870007262164,0.8001274497374269,0.7184873949579831,0.6704357836447441,0.8001274497374269,0.8341463414634146,0.6309963099630996
32,10,120,10,5,0.5,0.9019607843137255,0.7996753701714232,0.7169811320754716,0.6680841944449757,0.7996753701714233,0.8300970873786407,0.6309963099630996
32,10,120,10,5,1,0.8917937545388526,0.776630989637202,0.6809421841541755,0.629564238421462,0.776630989637202,0.8112244897959183,0.5867158671586716
32,10,120,10,5,1.5,0.9135802469135802,0.819445093185109,0.7515657620041755,0.7093319192037864,0.819445093185109,0.8653846153846154,0.6642066420664207
32,10,120,10,10,0.5,0.9070442992011619,0.8070187437859913,0.7310924369747899,0.6858298108482461,0.8070187437859913,0.848780487804878,0.6420664206642066
32,10,120,10,10,1,0.8997821350762527,0.7843897426316035,0.7,0.6571537800719138,0.7843897426316035,0.8518518518518519,0.5940959409594095
32,10,120,10,10,1.5,0.8990559186637618,0.7853306019497808,0.6997840172786177,0.6549841154136636,0.7853306019497808,0.84375,0.5977859778597786
32,10,120,10,20,0.5,0.8910675381263616,0.7873224211446455,0.6900826446280992,0.6318229982495042,0.7873224211446455,0.784037558685446,0.6162361623616236
32,10,120,10,20,1,0.8997821350762527,0.791354437052508,0.7063829787234043,0.6588926417176028,0.7913544370525081,0.8341708542713567,0.6125461254612546
32,10,120,10,20,1.5,0.9041394335511983,0.8024245477536149,0.7226890756302521,0.6755671260459115,0.8024245477536148,0.8390243902439024,0.6346863468634686
32,10,120,20,5,0.5,0.9005083514887436,0.8001641499235969,0.715176715176715,0.6639050166073814,0.8001641499235967,0.819047619047619,0.6346863468634686
32,10,120,20,5,1,0.9092229484386347,0.8083749824840021,0.7357293868921775,0.6930693997392776,0.808374982484002,0.8613861386138614,0.6420664206642066
32,10,120,20,5,1.5,0.9041394335511983,0.7954598533327105,0.7167381974248926,0.6738521812903544,0.7954598533327104,0.8564102564102564,0.6162361623616236
32,10,120,20,10,0.5,0.8990559186637618,0.7978670519074087,0.7110187110187111,0.6588242802936867,0.7978670519074088,0.8142857142857143,0.6309963099630996
32,10,120,20,10,1,0.8990559186637618,0.7922952963706853,0.7061310782241015,0.6569304810994342,0.7922952963706852,0.8267326732673267,0.6162361623616236
32,10,120,20,10,1.5,0.9084967320261438,0.8121017195705411,0.7375,0.6916618176213035,0.8121017195705411,0.84688995215311,0.6531365313653137
32,10,120,20,20,0.5,0.8997821350762527,0.7955332537050506,0.7100840336134453,0.6601730988424095,0.7955332537050507,0.824390243902439,0.6236162361623616
32,10,120,20,20,1,0.9099491648511256,0.8102200009341866,0.7383966244725738,0.6957928025541047,0.8102200009341866,0.8620689655172413,0.6457564575645757
32,10,120,20,20,1.5,0.9077705156136529,0.8102567011203565,0.7348643006263047,0.6889289769870125,0.8102567011203566,0.8461538461538461,0.6494464944649446
64,5,80,10,5,0.5,0.8961510530137982,0.7807364059174046,0.6911447084233261,0.6444380141411736,0.7807364059174046,0.8333333333333334,0.5904059040590406
64,5,80,10,5,1,0.9099491648511256,0.7907188565556542,0.7219730941704036,0.694055417084254,0.7907188565556542,0.92,0.5940959409594095
64,5,80,10,5,1.5,0.9026870007262164,0.798734510853246,0.7172995780590717,0.6700319834319991,0.7987345108532459,0.8374384236453202,0.6273062730627307
64,5,80,10,10,0.5,0.8983297022512708,0.7723420724261492,0.6860986547085203,0.6501831112944534,0.7723420724261493,0.8742857142857143,0.5645756457564576
64,5,80,10,10,1,0.9070442992011619,0.7944822938283632,0.7205240174672488,0.6835292563789851,0.7944822938283632,0.8823529411764706,0.6088560885608856
64,5,80,10,10,1.5,0.8925199709513435,0.758974863708854,0.6636363636363637,0.6275856407677292,0.758974863708854,0.863905325443787,0.5387453874538746
64,5,80,10,20,0.5,0.9121278140885984,0.8087903618638357,0.7408993576017131,0.7027534017560755,0.8087903618638357,0.8826530612244898,0.6383763837638377
64,5,80,10,20,1,0.8976034858387799,0.7760688095126882,0.6887417218543047,0.6481714539559988,0.7760688095126882,0.8571428571428571,0.5756457564575646
64,5,80,10,20,1.5,0.9084967320261438,0.802351147381275,0.7296137339055794,0.6895690831778983,0.8023511473812749,0.8717948717948718,0.6273062730627307
64,5,80,20,5,0.5,0.9143064633260711,0.8101466005618465,0.7456896551724138,0.7104028976718263,0.8101466005618465,0.8963730569948186,0.6383763837638377
64,5,80,20,5,1,0.9135802469135802,0.8124803987642046,0.746268656716418,0.7081503710843354,0.8124803987642045,0.8838383838383839,0.6457564575645757
64,5,80,20,5,1.5,0.9114015976761075,0.8166959156029174,0.7458333333333333,0.7018432097092241,0.8166959156029175,0.8564593301435407,0.6605166051660517
64,5,80,20,10,0.5,0.9084967320261438,0.8079229029179984,0.7341772151898734,0.6906406387296836,0.8079229029179984,0.8571428571428571,0.6420664206642066
64,5,80,20,10,1,0.9099491648511256,0.7976835509765586,0.7280701754385965,0.694101607640895,0.7976835509765587,0.8972972972972973,0.6125461254612546
64,5,80,20,10,1.5,0.9106753812636166,0.800921508310924,0.7320261437908497,0.696908212908606,0.800921508310924,0.8936170212765957,0.6199261992619927
64,5,80,20,20,0.5,0.9077705156136529,0.7949343733943668,0.7221006564551422,0.6861281576628755,0.7949343733943669,0.8870967741935484,0.6088560885608856
64,5,80,20,20,1,0.9070442992011619,0.8000540493650867,0.7253218884120172,0.6843301158820504,0.8000540493650867,0.8666666666666667,0.6236162361623616
64,5,80,20,20,1.5,0.9026870007262164,0.7820192442430753,0.7022222222222223,0.6668313733530981,0.7820192442430755,0.88268156424581,0.5830258302583026
64,5,120,10,5,0.5,0.9041394335511983,0.7954598533327105,0.7167381974248926,0.6738521812903544,0.7954598533327104,0.8564102564102564,0.6162361623616236
64,5,120,10,5,1,0.9026870007262164,0.786198060895618,0.706140350877193,0.6673211654445702,0.786198060895618,0.8702702702702703,0.5940959409594095
64,5,120,10,5,1.5,0.9077705156136529,0.7977202511627286,0.7245119305856832,0.6864334227238675,0.7977202511627286,0.8789473684210526,0.6162361623616236
64,5,120,10,10,0.5,0.8990559186637618,0.7922952963706853,0.7061310782241015,0.6569304810994342,0.7922952963706852,0.8267326732673267,0.6162361623616236
64,5,120,10,10,1,0.9019607843137255,0.7899247979821571,0.7084233261339093,0.6655302166861536,0.7899247979821571,0.8541666666666666,0.6051660516605166
64,5,120,10,10,1.5,0.9026870007262164,0.7973415719690651,0.7161016949152541,0.6696473400839289,0.7973415719690651,0.8407960199004975,0.6236162361623616
64,5,120,10,20,0.5,0.9106753812636166,0.800921508310924,0.7320261437908497,0.696908212908606,0.800921508310924,0.8936170212765957,0.6199261992619927
64,5,120,10,20,1,0.9106753812636166,0.800921508310924,0.7320261437908497,0.696908212908606,0.800921508310924,0.8936170212765957,0.6199261992619927
64,5,120,10,20,1.5,0.90559186637618,0.7949710735805369,0.7186147186147187,0.6785980468301702,0.794971073580537,0.8691099476439791,0.6125461254612546
64,5,120,20,5,0.5,0.8997821350762527,0.7802109259790608,0.6960352422907488,0.6563712674225235,0.7802109259790609,0.8633879781420765,0.5830258302583026
64,5,120,20,5,1,0.9128540305010894,0.8176000747349246,0.7489539748953975,0.7066342718297142,0.8176000747349247,0.8647342995169082,0.6605166051660517
64,5,120,20,5,1.5,0.9048656499636892,0.8000907495512568,0.721868365180467,0.6772384134274375,0.8000907495512568,0.85,0.6273062730627307
64,5,120,20,10,0.5,0.9106753812636166,0.812065019384371,0.7410526315789473,0.6985109271791621,0.8120650193843711,0.8627450980392157,0.6494464944649446
64,5,120,20,10,1,0.9041394335511983,0.7829234033750826,0.7053571428571428,0.6721772693574055,0.7829234033750826,0.8926553672316384,0.5830258302583026
64,5,120,20,10,1.5,0.8983297022512708,0.7960220334572243,0.7083333333333335,0.6560269453135813,0.7960220334572242,0.8133971291866029,0.6273062730627307
64,5,120,20,20,0.5,0.9034132171387074,0.7977936515350688,0.7176220806794055,0.6720543715391192,0.7977936515350688,0.845,0.6236162361623616
64,5,120,20,20,1,0.9135802469135802,0.8138733376483855,0.7473460721868365,0.7083426647573474,0.8138733376483855,0.88,0.6494464944649446
64,5,120,20,20,1.5,0.9084967320261438,0.8051370251496366,0.7319148936170212,0.6900617084148299,0.8051370251496366,0.864321608040201,0.6346863468634686
64,10,80,10,5,0.5,0.915758896151053,0.8180154541147582,0.7542372881355932,0.7162072950084705,0.8180154541147581,0.8855721393034826,0.6568265682656826
64,10,80,10,5,1,0.8917937545388526,0.7627016007953931,0.6666666666666666,0.6256437150451819,0.7627016007953931,0.8465909090909091,0.5498154981549815
64,10,80,10,5,1.5,0.9012345679012346,0.7671856962692593,0.6851851851851852,0.6611890973263533,0.7671856962692593,0.9192546583850931,0.5461254612546126
64,10,80,10,10,0.5,0.8976034858387799,0.7844264428177736,0.6967741935483871,0.6500831915408677,0.7844264428177735,0.8350515463917526,0.5977859778597786
