Dimension,Epochs,Length_of_Walk,Num_Walks,Context_Size,Return_Hyperparam,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef
32,10,120,20,20,0.5,0.9227421109902068,0.7910778324042266,0.7041666666666666,0.6742494161708603
32,10,120,20,20,1,0.9194776931447225,0.773110530562241,0.6810344827586207,0.6565100275722677
32,10,120,20,20,1.5,0.9270946681175191,0.7951051044873685,0.7172995780590719,0.692855354940328
64,5,80,10,5,0.5,0.9249183895538629,0.7865294377132774,0.7051282051282051,0.6821853199533664
64,5,80,10,5,1,0.9276387377584331,0.7939680058146312,0.7176220806794056,0.6949797076315279
64,5,80,10,5,1.5,0.9200217627856365,0.7675987447344903,0.6769230769230768,0.6579005488002317
64,5,80,10,10,0.5,0.9205658324265505,0.7693781041650953,0.6798245614035089,0.6605787594112296
64,5,80,10,10,1,0.9303590859630033,0.801406573915985,0.729957805907173,0.7076501069497654
64,5,80,10,10,1.5,0.9281828073993471,0.8044967395552629,0.7272727272727273,0.6992028843265364
64,5,80,10,20,0.5,0.9243743199129488,0.7774589330243167,0.6958424507658644,0.6786632462279988
64,5,80,10,20,1,0.9205658324265505,0.7795857075267932,0.6893617021276596,0.6625233641069365
64,5,80,10,20,1.5,0.9140369967355821,0.7684409977212314,0.6652542372881356,0.633159056108306
64,5,80,20,5,0.5,0.9270946681175191,0.790730417332355,0.7136752136752136,0.6921872473240048
64,5,80,20,5,1,0.926550598476605,0.787492828850079,0.7096774193548386,0.6894103736597127
64,5,80,20,5,1.5,0.9221980413492927,0.7790908696119236,0.6924731182795698,0.6692624002962764
64,5,80,20,10,0.5,0.9189336235038085,0.7844552325966763,0.6902286902286903,0.6574601620505982
64,5,80,20,10,1,0.9221980413492927,0.7820073277152659,0.6950959488272922,0.6698336457884214
64,5,80,20,10,1.5,0.9194776931447225,0.7745687596139121,0.6824034334763949,0.6568350093810712
64,5,80,20,20,0.5,0.9249183895538629,0.7748636052999083,0.6946902654867256,0.681049761989125
64,5,80,20,20,1,0.9319912948857454,0.8038281941044576,0.7357293868921776,0.7149735973203117
64,5,80,20,20,1.5,0.926550598476605,0.7831181416950657,0.7058823529411765,0.6890188696665327
64,5,120,10,5,0.5,0.9238302502720348,0.7858871769554097,0.7021276595744681,0.6774557108337945
64,5,120,10,5,1,0.9243743199129488,0.7832918492310013,0.7010752688172044,0.6793363869779946
64,5,120,10,5,1.5,0.9238302502720348,0.7844289479037386,0.7008547008547009,0.6771843562680472
64,5,120,10,10,0.5,0.9270946681175191,0.7921886463840262,0.7148936170212766,0.6923880575606527
64,5,120,10,10,1,0.9162132752992383,0.7682672901852956,0.6695278969957081,0.641760367469588
64,5,120,10,10,1.5,0.9276387377584331,0.7998009220213158,0.722338204592902,0.6959946590358326
64,5,120,10,20,0.5,0.9292709466811752,0.8022225422097884,0.7280334728033472,0.7031806521361992
64,5,120,10,20,1,0.9243743199129488,0.7876665363860147,0.7048832271762208,0.6800821905734628
64,5,120,10,20,1.5,0.9287268770402611,0.79606849562417,0.721868365180467,0.699945546650883
64,5,120,20,5,0.5,0.9292709466811752,0.8007643131581172,0.7268907563025211,0.7029390640022515
64,5,120,20,5,1,0.9292709466811752,0.8007643131581172,0.7268907563025211,0.7029390640022515
64,5,120,20,5,1.5,0.9243743199129488,0.7789171620759879,0.6971677559912854,0.6787950309139223
64,5,120,20,10,0.5,0.9238302502720348,0.7902618641104231,0.7058823529411766,0.6783929946039307
64,5,120,20,10,1,0.9357997823721437,0.8119090229636792,0.7510548523206751,0.7323080269654942
64,5,120,20,10,1.5,0.9298150163220892,0.8040019016403934,0.7306889352818373,0.7057473287670769
64,5,120,20,20,0.5,0.9281828073993471,0.8015802814519207,0.725,0.6985771709857239
64,5,120,20,20,1,0.9151251360174102,0.7603338841690723,0.6593886462882096,0.635165221956389
64,5,120,20,20,1.5,0.9314472252448314,0.8122564380355506,0.7407407407407407,0.7139517136352272
64,10,80,10,5,0.5,0.9189336235038085,0.7873716907000186,0.692783505154639,0.6584614214128357
64,10,80,10,5,1,0.9189336235038085,0.7727894001833071,0.6795698924731183,0.6541514202736992
64,10,80,10,5,1.5,0.9173014145810664,0.774742467149848,0.6779661016949153,0.6480220333337949
64,10,80,10,10,0.5,0.9194776931447225,0.7818599048722679,0.6890756302521008,0.6587561390852739
64,10,80,10,10,1,0.9276387377584331,0.7954262348663024,0.7188160676532771,0.6952019660576211
64,10,80,10,10,1.5,0.9309031556039173,0.8046441623982611,0.7337526205450734,0.710404510833172
64,10,80,10,20,0.5,0.9227421109902068,0.783786687145871,0.6978723404255318,0.6724782619248418
64,10,80,10,20,1,0.9194776931447225,0.7643611562522142,0.6725663716814159,0.6550270718754937
64,10,80,10,20,1.5,0.9200217627856365,0.7690569737861614,0.6783369803063457,0.6581120934174238
64,10,80,20,5,0.5,0.9221980413492927,0.7747161824569102,0.6884531590413943,0.668571192161312
64,10,80,20,5,1,0.9314472252448314,0.806423521828866,0.7364016736401674,0.7129550639539098
