Dimension,Epochs,Length_of_Walk,Num_Walks,Accuracy,Balanced_Accuracy,F1_Score,Matthews_Corrcoef
128,5,80,10,0.9091403699673558,0.734928014225733,0.6195899772209568,0.6032246572160467
128,5,80,20,0.9200217627856365,0.7719734318895037,0.6811279826464207,0.658605612980159
128,5,120,5,0.9096844396082698,0.7367073736563379,0.6227272727272728,0.606059605071617
128,5,120,10,0.9183895538628944,0.7608024373910043,0.6666666666666666,0.6496322656778881
128,5,120,20,0.9374319912948857,0.8157888722038229,0.7578947368421054,0.7397287745673773
128,10,40,5,0.9015233949945594,0.7129334403006055,0.5780885780885782,0.5632447116787229
128,10,40,10,0.9036996735582155,0.7185926489713543,0.5893271461716938,0.5746867236751184
128,10,40,20,0.9173014145810664,0.7601601766331365,0.663716814159292,0.6446179958300411
128,10,80,5,0.9183895538628944,0.7549695211843197,0.6606334841628959,0.649136845875249
128,10,80,10,0.9156692056583242,0.748989182134637,0.6485260770975058,0.6356996480444616
128,10,80,20,0.9194776931447225,0.7643611562522142,0.6725663716814159,0.6550270718754937
128,10,120,5,0.9124047878128401,0.7383130255510071,0.6298850574712643,0.6190758152862691
128,10,120,10,0.9173014145810664,0.7572437185297942,0.6607142857142857,0.6442075052256434
128,10,120,20,0.9140369967355821,0.742192874791151,0.6376146788990825,0.6273081314123584
256,1,40,5,0.8824809575625681,0.6914862736762228,0.52,0.4769727731800391
256,1,40,10,0.9053318824809575,0.7501788501932496,0.6297872340425532,0.5928390793815989
256,1,40,20,0.9221980413492927,0.7892984729736217,0.7014613778705637,0.6716129847077217
256,1,80,5,0.911860718171926,0.765698247153825,0.6582278481012658,0.6238131788962873
256,1,80,10,0.9140369967355821,0.7596916234112046,0.6565217391304348,0.6304282916419878
256,1,80,20,0.9075081610446137,0.7208405616238912,0.5990566037735848,0.5934080517735617
256,1,120,5,0.911860718171926,0.7642400181021538,0.6567796610169492,0.6232504046246469
256,1,120,10,0.9085963003264418,0.7491891743635104,0.6347826086956522,0.6049325096671073
256,1,120,20,0.9009793253536452,0.6965717903532891,0.553921568627451,0.5578555907034057
256,3,40,5,0.9020674646354734,0.7395026936096197,0.6120689655172414,0.5757226558111435
256,3,40,10,0.9129488574537541,0.7444670721366256,0.6380090497737557,0.6223982513282669
256,3,40,20,0.9053318824809575,0.7122648948498002,0.583732057416268,0.5816921411785521
256,3,80,5,0.911316648531012,0.7522530553098508,0.6433260393873085,0.617009787796274
256,3,80,10,0.9080522306855278,0.7226199210544961,0.6023529411764706,0.5962845232735721
256,3,80,20,0.9047878128400435,0.709027306367524,0.5783132530120482,0.5786864208484549
256,3,120,5,0.8911860718171926,0.6762091530157686,0.5073891625615763,0.5037583265342442
256,3,120,10,0.8998911860718172,0.6944713005437503,0.5490196078431372,0.551894562514362
256,3,120,20,0.9232861806311208,0.7724419851114357,0.6887417218543047,0.6732862975323799
256,5,40,5,0.8982589771490751,0.7007990546653045,0.5558194774346793,0.5448240433894919
256,5,40,10,0.8862894450489662,0.6572784600369814,0.46819338422391854,0.4732245893892924
256,5,40,20,0.8966267682263329,0.6940027473218183,0.5432692307692308,0.5352554941228008
256,5,80,5,0.8928182807399347,0.6888383765659392,0.5298329355608593,0.5157671955756964
256,5,80,10,0.9058759521218716,0.7067531090220494,0.5770171149144254,0.5846237721554223
256,5,80,20,0.9053318824809575,0.7224724982114981,0.5972222222222222,0.5831197870518059
256,5,120,5,0.8928182807399347,0.6684231698425432,0.49616368286445023,0.5110472869822619
256,5,120,10,0.9042437431991295,0.7159973212469458,0.5868544600938967,0.5767177881350514
256,5,120,20,0.911860718171926,0.7321589789653887,0.6214953271028036,0.6160025015316015
256,10,40,5,0.8770402611534276,0.6255711206650256,0.39572192513368976,0.41236143485270677
256,10,40,10,0.8949945593035908,0.6813735237716477,0.5210918114143921,0.5244001357881212
256,10,40,20,0.9009793253536452,0.7140705389733428,0.5787037037037037,0.5610975203844292
256,10,80,5,0.8955386289445049,0.6787781960472393,0.5175879396984925,0.5270582875031009
256,10,80,10,0.9047878128400435,0.7119437644708663,0.5823389021479713,0.5788740774453977
256,10,80,20,0.9183895538628944,0.7622606664426754,0.668141592920354,0.6498225338527673
256,10,120,5,0.9009793253536452,0.6980300194049602,0.5560975609756098,0.5579465614385418
256,10,120,10,0.9107725788900979,0.7256838020008366,0.6113744075829384,0.610347786655289
256,10,120,20,0.9194776931447225,0.7570700109938585,0.665158371040724,0.6544845647846455
